Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
3/17/2017,1100.22998,1180.160034,1099.569946,1180.160034,706598976,1207.713495,1182.431839,42.42097485,21.57305288,36.27669219,50.23201465,53.53688485,3245626396,31.2141533
3/18/2017,973.8179932,1114.069946,957.6550293,1099.689941,621302016,1198.144397,1162.563853,33.01375652,2.626202633,29.54659428,23.63064834,60.91172256,2624324380,31.62263045
3/19/2017,1036.73999,1069.910034,976.7299805,976.7299805,406648000,1190.982898,1150.580628,40.13055596,-7.228705372,22.19153435,13.76250182,63.43298542,3030972380,32.00139802
3/20/2017,1054.22998,1063.030029,1036.680054,1037.23999,286529984,1184.695898,1141.404376,41.97590791,-13.47219584,15.05878831,20.09974363,60.77599578,3317502364,32.35265241
3/21/2017,1120.540039,1122.430054,1055.359985,1055.359985,337391008,1179.5979,1139.417296,48.46190665,-12.92059884,9.462910881,35.76425709,61.30781168,3654893372,31.40807026
3/22/2017,1049.140015,1120.650024,1014.210022,1120.650024,380840992,1169.504401,1130.81946,42.90106859,-18.0369211,3.962944485,37.23198577,64.5401444,3274052380,31.04184696
3/23/2017,1038.589966,1058.01001,1028.930054,1050.050049,248540000,1157.684399,1122.035699,42.13177816,-22.68148607,-1.365941627,35.72985039,62.00099715,3025512380,30.70213672
3/24/2017,937.5200195,1040.469971,934.3579712,1038.449951,491038016,1141.802899,1104.462777,35.55420811,-34.1244716,-7.91764762,18.69863543,65.15903194,2534474364,31.39080259
3/25/2017,972.7789917,975.7609863,903.7130127,936.539978,435803008,1127.085849,1091.921464,39.12470818,-39.88820924,-14.31175994,15.44854878,65.65215025,2970277372,32.29585832
3/26/2017,966.7249756,1007.960022,954.1859741,974.0150146,303668000,1111.7806,1079.997989,38.7279575,-44.43233307,-20.33587457,12.75303924,64.80203182,2666609372,32.45728246
3/27/2017,1045.77002,1046.400024,971.9840088,972.0549927,372535008,1102.892099,1076.738182,46.37432394,-41.18060513,-24.50482068,25.79363151,65.8663462,3039144380,31.85589275
3/28/2017,1047.150024,1064.650024,1027.72998,1044.579956,326332000,1097.7496,1073.920262,46.4998513,-38.05357452,-27.21457145,32.79127637,63.79521871,3365476380,30.95733859
3/29/2017,1039.969971,1055.130005,1015.880005,1046.079956,298457984,1090.323599,1070.686901,45.89786055,-35.74273062,-28.92020328,39.68297122,62.03920614,3067018396,30.27424745
3/30/2017,1026.430054,1049.290039,1020.039978,1042.209961,352968992,1085.809103,1066.471963,44.72206163,-34.60502315,-30.05716726,41.11361828,59.69367299,2714049404,29.64034081
3/31/2017,1071.790039,1074.920044,1026.640015,1026.640015,447287008,1080.607108,1066.978447,49.39879946,-29.7008373,-29.98590126,53.23308323,58.892315,3161336412,28.51811906
4/1/2017,1080.5,1091.719971,1061.089966,1071.709961,289633984,1073.563107,1068.266214,50.26885628,-24.82524366,-28.95376974,67.35555876,56.87101402,3450970396,27.13759557
4/2/2017,1102.170044,1107.589966,1075.449951,1080.609985,514187008,1067.075607,1071.49515,52.4590519,-18.99376088,-26.96176797,82.80425436,55.10243045,3965157404,25.53920978
4/3/2017,1143.810059,1151.73999,1102.949951,1102.949951,580444032,1062.26611,1078.382284,56.42986234,-10.88677166,-23.74676871,89.45625575,54.70682022,4545601436,24.17651573
4/4/2017,1133.25,1156.439941,1120.52002,1145.52002,436310016,1056.448111,1083.607781,55.1713285,-5.253473991,-20.04810977,92.78793057,53.36353435,4109291420,22.99375017
4/5/2017,1124.780029,1135.089966,1113.630005,1134.140015,414784000,1053.296609,1087.528947,54.1285724,-1.455720214,-16.32963186,91.69986191,51.08255608,3694507420,21.74957407
4/6/2017,1182.680054,1188.369995,1125.810059,1125.810059,511222016,1057.419113,1096.590958,59.73151431,6.155122672,-11.83268095,92.09930485,51.97672569,4205729436,21.51699232
4/7/2017,1176.900024,1186.579956,1163.390015,1178.939941,317022016,1067.573215,1104.23944,58.95732423,11.58680496,-7.148783768,93.81480078,49.91885307,3888707420,21.30109724
4/8/2017,1175.949951,1184.97998,1162.579956,1172.650024,209312000,1074.533713,1111.069013,58.82236633,15.63456381,-2.592114252,96.22272748,47.9517368,3679395420,21.08032357
4/9/2017,1187.869995,1197.209961,1171.859985,1176.569946,242343008,1081.215714,1118.383392,60.05774078,19.57859988,1.842028576,95.50670915,46.33619231,3921738428,21.0952628
4/10/2017,1187.130005,1190.339966,1179.040039,1187.300049,215883008,1084.545212,1124.930688,59.93752297,22.38650813,5.950924486,94.99687514,43.83197116,3705855420,21.10913116
4/11/2017,1205.01001,1208.069946,1187.459961,1187.459961,216182000,1092.338712,1132.55729,61.92093285,25.75764451,9.912268491,96.23400795,42.19583683,3922037420,21.45658542
4/12/2017,1200.369995,1207.140015,1196.76001,1204.810059,288702016,1100.427713,1139.015643,61.07588588,27.7351702,13.47684883,96.25129646,39.92200065,3633335404,21.77914555
4/13/2017,1169.280029,1205.890015,1156.439941,1201.02002,351968992,1112.015714,1141.897966,55.60058144,26.48833214,16.0791455,90.97756109,40.6029323,3281366412,20.85797692
4/14/2017,1167.540039,1190.800049,1159.790039,1170.329956,254827008,1121.753766,1144.340068,55.30177578,25.07080074,17.87747654,82.3165681,39.91739164,3026539404,20.00277965
4/15/2017,1172.52002,1188,1164.959961,1167.300049,203559008,1132.043518,1147.023873,56.03010945,24.07175549,19.11633233,74.74630429,38.71132425,3230098412,19.20881755
4/16/2017,1182.939941,1187.219971,1172.609985,1172.609985,183231008,1138.902014,1150.444451,57.58735459,23.84592456,20.06225078,73.90433461,36.9955099,3413329420,18.47169602
4/17/2017,1193.910034,1194.900024,1172.650024,1183.25,253206000,1146.240015,1154.58403,59.22466006,24.27235019,20.90427066,78.09818723,35.94185076,3666535420,18.00583978
4/18/2017,1211.670044,1217.569946,1193.77002,1193.77002,270524000,1154.825018,1160.020793,61.79600707,25.74658928,21.87273438,85.14138603,35.07425818,3937059420,18.17988307
4/19/2017,1210.290039,1215.51001,1205.079956,1212.130005,288060992,1164.018018,1164.808341,61.47162273,26.49812562,22.79781263,90.46550907,33.31336931,3648998428,18.34147206
4/20/2017,1229.079956,1240.790039,1208.410034,1211.079956,315108000,1171.882513,1170.929447,64.22524908,28.28387395,23.89502489,90.835792,33.24667973,3964106428,19.12173543
4/21/2017,1222.050049,1235.939941,1215.560059,1229.420044,272167008,1178.960016,1175.798076,62.42757816,28.79985086,24.87599009,85.32224037,32.32735786,3691939420,19.84617821
4/22/2017,1231.709961,1235.560059,1208.469971,1222.709961,249320000,1185.437012,1181.123017,63.92194023,29.64649413,25.8300909,84.37853958,31.95316701,3941259420,20.1973762
4/23/2017,1207.209961,1232.199951,1203.939941,1231.920044,258951008,1188.607007,1183.607488,57.65830953,28.01755088,26.26758289,75.73599075,31.6893045,3682308412,20.3149872
4/24/2017,1250.150024,1250.939941,1209.630005,1209.630005,235806000,1194.452008,1189.944872,64.26714825,29.84744314,26.98355494,82.86299905,32.54955128,3918114412,20.95109845
4/25/2017,1265.48999,1267.579956,1249.969971,1250.449951,242556000,1201.487506,1197.139645,66.29131007,32.16467858,28.01977967,85.82442275,31.48221073,4160670412,21.96027626
4/26/2017,1281.079956,1294.829956,1265.930054,1265.98999,329631008,1206.407501,1205.133961,68.2592003,34.85727139,29.38727801,95.782647,31.32916279,4490301420,23.4881402
4/27/2017,1317.72998,1319.699951,1281.300049,1281.880005,449196992,1213.448999,1215.857391,72.34638854,39.49326746,31.4084759,95.65063556,31.85003276,4939498412,25.35715337
